algorithm,init,crossover,MaxToleranceRate
AGEMOEA2,greedy_multi,1P,0.02040816326530612
AGEMOEA2,greedy_multi,2P,0.02040816326530612
AGEMOEA2,greedy_multi,HUX,0.02040816326530612
AGEMOEA2,greedy_multi,UX,0.02040816326530612
NSGA2,greedy_multi,1P,0.02040816326530612
NSGA2,greedy_multi,2P,0.02040816326530612
NSGA2,greedy_multi,HUX,0.02040816326530612
NSGA2,greedy_multi,UX,0.02040816326530612
SMSEMOA,greedy_multi,1P,0.02040816326530612
SMSEMOA,greedy_multi,2P,0.02040816326530612
SMSEMOA,greedy_multi,HUX,0.02040816326530612
SMSEMOA,greedy_multi,UX,0.02040816326530612
SPEA2,greedy_multi,UX,0.02040816326530612
SPEA2,greedy_multi,HUX,0.02040816326530612
SPEA2,greedy_multi,2P,0.02040816326530612
SPEA2,greedy_multi,1P,0.02040816326530612
RVEA,greedy_multi,1P,0.02040816326530612
RVEA,greedy_multi,2P,0.02040816326530612
RVEA,greedy_multi,HUX,0.02040816326530612
RVEA,greedy_multi,UX,0.02040816326530612
NSGA3,greedy_multi,UX,0.02040816326530612
NSGA3,greedy_multi,HUX,0.02040816326530612
NSGA3,greedy_multi,2P,0.02040816326530612
NSGA3,greedy_multi,1P,0.02040816326530612
MOEAD_TCHE,greedy_multi,HUX,0.019387417777028165
MOEAD_TCHE,greedy_multi,2P,0.018856468207117557
MOEAD_TCHE,greedy_multi,UX,0.018569642146065723
MOEAD_TCHE,greedy_multi,1P,0.01726245782189838
NSGA3,random_dense,HUX,0.0014792087084821355
SPEA2,random_dense,HUX,0.0014747601661300183
SPEA2,random_dense,UX,0.001347206034508961
NSGA3,random_dense,UX,0.0012424913539932777
NSGA2,random_dense,UX,0.0008458027532481933
NSGA2,random_dense,HUX,0.0006901686044419151
AGEMOEA2,random_dense,UX,0.0006280388271464969
AGEMOEA2,random_dense,HUX,0.000557905053602451
SMSEMOA,random_dense,UX,0.0004800060379790305
SMSEMOA,random_dense,HUX,0.0004763596977728578
SPEA2,random_dense,2P,0.00011104599443277009
NSGA3,random_dense,2P,0.00010745337730036408
NSGA2,random_dense,2P,0.00010217413482489857
AGEMOEA2,random_dense,2P,9.630353454402499e-05
RVEA,random_dense,UX,8.626972978871145e-05
RVEA,random_dense,HUX,8.528949351588211e-05
SMSEMOA,random_dense,2P,8.523684555530292e-05
NSGA3,random_dense,1P,8.247946038106418e-05
AGEMOEA2,random_dense,1P,7.984899653023072e-05
SPEA2,random_dense,1P,7.966239045501875e-05
MOEAD_TCHE,random_dense,UX,7.667401273376594e-05
MOEAD_TCHE,random_dense,HUX,7.613296040980691e-05
NSGA2,random_dense,1P,7.12458508070754e-05
SMSEMOA,random_dense,1P,6.839010873898215e-05
RVEA,random_dense,2P,6.233693447814545e-05
RVEA,random_dense,1P,6.0248178097996125e-05
MOEAD_TCHE,random_dense,2P,5.1601302606972706e-05
MOEAD_TCHE,random_dense,1P,4.72097839460563e-05
