algorithm,init,avg_rank_7,avg_rank_6
MOEAD_WS,greedy_hybrid,2.857142857142857,3.122448979591837
MOEAD_WS,greedy_ting,4.142857142857143,4.448979591836735
MOEAD_TCHE,greedy_hybrid,5.142857142857143,5.448979591836735
MOEAD_TCHE,greedy_ting,6.857142857142857,6.836734693877551
MOEAD_TCHE,random_sparse,8.857142857142858,8.408163265306124
MOEAD_WS,random_sparse,9.428571428571429,8.918367346938776
NSGA3,greedy_hybrid,10.0,10.714285714285714
NSGA3,greedy_ting,10.428571428571429,11.346938775510205
NSGA2,greedy_hybrid,11.857142857142858,12.693877551020408
SPEA2,greedy_ting,12.428571428571429,12.775510204081632
NSGA2,greedy_ting,12.571428571428571,13.224489795918368
MOEAD_PBI,random_sparse,12.714285714285714,12.10204081632653
NSGA3,random_dense,13.428571428571429,12.489795918367347
NSGA3,random_sparse,13.428571428571429,13.346938775510205
SPEA2,greedy_hybrid,13.428571428571429,14.061224489795919
NSGA2,random_dense,14.0,13.285714285714286
MOEAD_PBI,greedy_hybrid,14.142857142857142,13.877551020408163
NSGA2,random_sparse,14.428571428571429,14.918367346938776
SPEA2,random_dense,15.142857142857142,14.73469387755102
MOEAD_WS,random_dense,16.857142857142858,16.122448979591837
SPEA2,random_sparse,17.285714285714285,17.612244897959183
MOEAD_TCHE,random_dense,18.571428571428573,17.93877551020408
MOEAD_PBI,greedy_ting,20.285714285714285,20.183673469387752
MOEAD_PBI,random_dense,21.714285714285715,21.387755102040817
