algorithm,init,crossover,GD+
RVEA,greedy_multi,1P,0.01946997848385614
RVEA,greedy_multi,2P,0.021824063124981388
RVEA,greedy_multi,UX,0.02562822686829256
RVEA,greedy_multi,HUX,0.02667572575636784
NSGA3,greedy_multi,1P,0.03506228878911844
SMSEMOA,greedy_multi,2P,0.036788716259714103
UNSGA3,greedy_multi,1P,0.03731626229020728
SMSEMOA,greedy_multi,1P,0.03759685264996467
NSGA3,greedy_multi,2P,0.0378433667683765
SPEA2,greedy_multi,1P,0.039807059998042786
AGEMOEA2,greedy_multi,1P,0.04037296260758454
UNSGA3,greedy_multi,2P,0.04074195696022376
SMSEMOA,greedy_multi,UX,0.04260313433211682
SMSEMOA,greedy_multi,HUX,0.043067318390069
NSGA2,greedy_multi,1P,0.045386427245975206
AGEMOEA2,greedy_multi,2P,0.04611908420668818
SPEA2,greedy_multi,2P,0.04760827716052112
UNSGA3,greedy_multi,HUX,0.048375427637735766
UNSGA3,greedy_multi,UX,0.048610630134739416
NSGA3,greedy_multi,UX,0.049862606501173
NSGA2,greedy_multi,2P,0.0509948604834357
NSGA3,greedy_multi,HUX,0.05225788345750095
AGEMOEA2,greedy_multi,HUX,0.05332911902917218
AGEMOEA2,greedy_multi,UX,0.05984894980356117
NSGA2,greedy_multi,HUX,0.06259861078206352
NSGA2,greedy_multi,UX,0.06440188273296543
SPEA2,greedy_multi,HUX,0.0674065907942025
SPEA2,greedy_multi,UX,0.0693775733854505
RVEA,greedy_ting,2P,0.23959061921876385
RVEA,greedy_ting,1P,0.2610418066801256
RVEA,greedy_ting,UX,0.3636353874324342
RVEA,greedy_ting,HUX,0.3660918033709111
SMSEMOA,greedy_ting,HUX,0.37697220712508134
SMSEMOA,greedy_ting,UX,0.39540507936532715
SMSEMOA,greedy_ting,1P,0.3985424716290335
NSGA3,greedy_ting,HUX,0.444317593609867
UNSGA3,greedy_ting,UX,0.45597354162664533
UNSGA3,greedy_ting,HUX,0.46466183253320353
RVEA,random_dense,HUX,0.46541827780340317
NSGA3,greedy_ting,UX,0.46648669215036154
SMSEMOA,greedy_ting,2P,0.4695278952110712
RVEA,random_dense,UX,0.4915207327651799
AGEMOEA2,greedy_ting,UX,0.49928466115926035
UNSGA3,greedy_ting,1P,0.5112873015483606
NSGA2,greedy_ting,HUX,0.5203863276257336
NSGA2,greedy_ting,UX,0.5215856762992982
NSGA3,greedy_ting,1P,0.526773667614383
AGEMOEA2,greedy_ting,HUX,0.5321687324932525
UNSGA3,greedy_ting,2P,0.5365514817559033
NSGA3,greedy_ting,2P,0.5388723835598211
RVEA,random_dense,2P,0.5427862383260686
NSGA2,greedy_ting,2P,0.5473047120104046
NSGA2,greedy_ting,1P,0.5478499291675284
AGEMOEA2,greedy_ting,2P,0.5506975422067555
SPEA2,greedy_ting,HUX,0.5699997141835607
RVEA,random_dense,1P,0.5741785487616191
AGEMOEA2,greedy_ting,1P,0.5775950072595816
SPEA2,greedy_ting,UX,0.5877641084753349
SPEA2,greedy_ting,2P,0.6135948800144886
SPEA2,greedy_ting,1P,0.6240139795832403
SMSEMOA,random_dense,UX,0.7039505850155227
SMSEMOA,random_dense,1P,0.7165479913374514
SMSEMOA,random_dense,HUX,0.7206669855135843
AGEMOEA2,random_dense,2P,0.7467063374100487
AGEMOEA2,random_dense,UX,0.7485180943723787
SMSEMOA,random_dense,2P,0.7575150612405327
NSGA3,random_dense,UX,0.7576676528768567
UNSGA3,random_dense,HUX,0.7624306939279653
AGEMOEA2,random_dense,1P,0.76610235552973
UNSGA3,random_dense,UX,0.7696674534037783
NSGA2,random_dense,2P,0.7731603410823948
UNSGA3,random_dense,1P,0.7734155910209697
NSGA2,random_dense,UX,0.778931154737624
UNSGA3,random_dense,2P,0.7793104571997957
NSGA3,random_dense,2P,0.7802687548810908
NSGA3,random_dense,HUX,0.7820933107454107
AGEMOEA2,random_dense,HUX,0.7888835797441665
NSGA3,random_dense,1P,0.7939684572376133
NSGA2,random_dense,1P,0.8005259930087376
SPEA2,random_dense,1P,0.8036957373690455
NSGA2,random_dense,HUX,0.8041099637298383
SPEA2,random_dense,2P,0.8148409744068598
SPEA2,random_dense,UX,0.8682720915640347
SPEA2,random_dense,HUX,0.8966635088302706
