algorithm,init,crossover,Average Ranking Overall
AGEMOEA2,greedy_ting,HUX,21.333333333333332
AGEMOEA2,greedy_ting,UX,22.0
AGEMOEA2,random_dense,UX,25.77777777777778
SMSEMOA,greedy_ting,HUX,25.88888888888889
AGEMOEA2,random_dense,HUX,26.0
UNSGA3,random_dense,HUX,26.11111111111111
SMSEMOA,greedy_ting,1P,26.38888888888889
SMSEMOA,greedy_ting,UX,26.833333333333332
AGEMOEA2,greedy_ting,2P,26.88888888888889
NSGA3,random_dense,HUX,27.444444444444443
NSGA2,greedy_ting,HUX,27.444444444444443
UNSGA3,random_dense,UX,27.77777777777778
SMSEMOA,greedy_ting,2P,27.88888888888889
NSGA3,random_dense,UX,28.444444444444443
SPEA2,random_dense,UX,28.666666666666668
NSGA2,random_dense,HUX,29.0
NSGA2,greedy_ting,UX,29.11111111111111
SPEA2,random_dense,HUX,29.444444444444443
NSGA2,random_dense,UX,29.666666666666668
AGEMOEA2,greedy_ting,1P,31.11111111111111
SMSEMOA,random_dense,UX,31.444444444444443
NSGA2,greedy_ting,1P,31.666666666666668
SMSEMOA,random_dense,HUX,32.0
NSGA2,greedy_ting,2P,32.333333333333336
NSGA3,greedy_ting,UX,33.333333333333336
UNSGA3,greedy_ting,UX,33.77777777777778
NSGA3,greedy_ting,HUX,34.0
NSGA3,greedy_ting,2P,36.333333333333336
UNSGA3,greedy_ting,HUX,36.77777777777778
UNSGA3,random_dense,2P,37.111111111111114
AGEMOEA2,random_dense,2P,37.77777777777778
AGEMOEA2,greedy_multi,UX,38.77777777777778
NSGA3,random_dense,2P,38.888888888888886
SPEA2,random_dense,2P,39.888888888888886
UNSGA3,greedy_ting,2P,40.0
NSGA3,greedy_ting,1P,40.111111111111114
SPEA2,greedy_ting,HUX,40.333333333333336
AGEMOEA2,greedy_multi,HUX,41.333333333333336
SMSEMOA,random_dense,2P,41.333333333333336
NSGA2,random_dense,2P,42.111111111111114
UNSGA3,random_dense,1P,42.666666666666664
SPEA2,greedy_ting,UX,43.0
AGEMOEA2,random_dense,1P,43.44444444444444
UNSGA3,greedy_multi,UX,43.55555555555556
SPEA2,random_dense,1P,43.666666666666664
SMSEMOA,random_dense,1P,44.0
NSGA3,greedy_multi,UX,44.333333333333336
NSGA3,random_dense,1P,44.333333333333336
UNSGA3,greedy_ting,1P,45.111111111111114
AGEMOEA2,greedy_multi,2P,45.22222222222222
SPEA2,greedy_ting,2P,45.666666666666664
RVEA,random_dense,HUX,46.0
NSGA2,random_dense,1P,46.666666666666664
NSGA3,greedy_multi,HUX,46.666666666666664
SPEA2,greedy_multi,HUX,47.666666666666664
UNSGA3,greedy_multi,HUX,47.888888888888886
SPEA2,greedy_ting,1P,48.22222222222222
AGEMOEA2,greedy_multi,1P,48.22222222222222
NSGA3,greedy_multi,2P,48.333333333333336
RVEA,random_dense,UX,49.333333333333336
UNSGA3,greedy_multi,2P,49.888888888888886
SPEA2,greedy_multi,UX,51.111111111111114
UNSGA3,greedy_multi,1P,53.111111111111114
NSGA2,greedy_multi,UX,54.111111111111114
NSGA2,greedy_multi,HUX,54.111111111111114
NSGA3,greedy_multi,1P,54.22222222222222
RVEA,greedy_ting,HUX,54.55555555555556
RVEA,greedy_ting,2P,54.55555555555556
RVEA,greedy_ting,1P,54.666666666666664
RVEA,greedy_ting,UX,55.111111111111114
RVEA,greedy_multi,UX,55.333333333333336
SMSEMOA,greedy_multi,HUX,57.22222222222222
RVEA,random_dense,2P,57.55555555555556
SPEA2,greedy_multi,1P,57.888888888888886
SMSEMOA,greedy_multi,2P,58.22222222222222
SMSEMOA,greedy_multi,1P,58.333333333333336
RVEA,greedy_multi,HUX,59.44444444444444
SMSEMOA,greedy_multi,UX,59.666666666666664
SPEA2,greedy_multi,2P,59.666666666666664
RVEA,random_dense,1P,61.44444444444444
NSGA2,greedy_multi,2P,61.77777777777778
NSGA2,greedy_multi,1P,63.0
RVEA,greedy_multi,2P,63.111111111111114
RVEA,greedy_multi,1P,65.33333333333333
